scenario,shock,delta_vs_last
market_-5pct,-0.05,-0.05581377601855682
marketnarket_-10pct,-0.1,-0.10581377601855682
market_-20pct,-0.2,-0.20581377601855683
market_+5pct,0.05,0.04418622398144319
