,VaR,return,violation
2019-01-04,-0.02551733067609839,0.007078941652093551,0.0
2019-01-07,-0.02551733067609839,0.00661705662521106,0.0
2019-01-08,-0.02551733067609839,0.0008240815211499886,0.0
2019-01-09,-0.02551733067609839,0.03002252886308554,0.0
2019-01-10,-0.02551733067609839,-0.0032025616690876113,0.0
2019-01-11,-0.02551733067609839,-0.014539860631602064,0.0
2019-01-14,-0.02551733067609839,-0.015167367900100981,0.0
2019-01-15,-0.02551733067609839,0.02729850100584752,0.0
2019-01-16,-0.02551733067609839,0.00040185771780931745,0.0
2019-01-17,-0.02551733067609839,0.010789333909996923,0.0
2019-01-18,-0.02551733067609839,0.016946230366952975,0.0
2019-01-22,-0.02551733067609839,0.010495740811368393,0.0
2019-01-23,-0.02551733067609839,0.1364273828898681,0.0
2019-01-24,-0.02551733067609839,0.018717169807991763,0.0
2019-01-25,-0.02551733067609839,-0.02684728827424454,1.0
2019-01-28,-0.026451889506593114,0.002717390423720545,0.0
2019-01-29,-0.026451889506593114,0.014146415845260218,0.0
2019-01-30,-0.026451889506593114,0.0010028644224693295,0.0
2019-01-31,-0.026451889506593114,0.051443630972042076,0.0
2019-02-01,-0.026451889506593114,0.003801047751760489,0.0
2019-02-04,-0.026451889506593114,0.006303228112354287,0.0
2019-02-05,-0.026451889506593114,0.002823536074687105,0.0
2019-02-06,-0.02551733067609839,-0.02473962816615982,0.0
2019-02-07,-0.024810695832600534,-0.0009638162769198821,0.0
2019-02-08,-0.024810695832600534,0.0022475428884902726,0.0
2019-02-11,-0.024810695832600534,0.02439533128553295,0.0
2019-02-12,-0.023142043606597894,0.0015636980970139547,0.0
2019-02-13,-0.023142043606597894,0.004987536766390743,0.0
2019-02-14,-0.023142043606597894,-0.005612746474370045,0.0
2019-02-15,-0.023142043606597894,0.002498496924687288,0.0
2019-02-19,-0.023142043606597894,0.005288491607881252,0.0
2019-02-20,-0.021531619194563582,-0.007161778824589238,0.0
2019-02-21,-0.021531619194563582,0.020415180070580963,0.0
2019-02-22,-0.021531619194563582,0.005496206360323441,0.0
2019-02-25,-0.021531619194563582,-0.0051901196646291226,0.0
2019-02-26,-0.021531619194563582,-0.007990157120595587,0.0
2019-02-27,-0.021531619194563582,-0.005569330821090457,0.0
2019-02-28,-0.021531619194563582,-0.00591253084964638,0.0
2019-03-01,-0.021531619194563582,0.017940413674015332,0.0
2019-03-04,-0.021531619194563582,-0.008620705581483534,0.0
2019-03-05,-0.021212259446664272,0.0015448554722095054,0.0
2019-03-06,-0.021212259446664272,0.0015424725745387668,0.0
2019-03-07,-0.021212259446664272,0.0,0.0
2019-03-08,-0.021212259446664272,0.0036923963976316365,0.0
2019-03-11,-0.021212259446664272,0.024872366920766442,0.0
2019-03-12,-0.021212259446664272,0.0026926014624475414,0.0
2019-03-13,-0.021212259446664272,0.007144950392249605,0.0
2019-03-14,-0.021212259446664272,-0.0026734058768087543,0.0
2019-03-15,-0.021212259446664272,0.004747779032557631,0.0
2019-03-18,-0.021212259446664272,-0.01491229596956778,0.0
2019-03-19,-0.021212259446664272,0.0006007948020774201,0.0
2019-03-20,-0.021212259446664272,-0.01238873243169758,0.0
2019-03-21,-0.021212259446664272,0.010284426947282821,0.0
2019-03-22,-0.021212259446664272,-0.019140827024329177,0.0
2019-03-25,-0.021212259446664272,0.01823765733598748,0.0
2019-03-26,-0.021212259446664272,0.0009031696883416984,0.0
2019-03-27,-0.02099019727793498,0.008390783069794683,0.0
2019-03-28,-0.02099019727793498,0.015398600980748522,0.0
2019-03-29,-0.01999351007511819,0.002934341572678356,0.0
2019-04-01,-0.01999351007511819,0.0014638924018246513,0.0
2019-04-02,-0.01999351007511819,0.0020458780922996134,0.0
2019-04-03,-0.01999351007511819,0.024514522291251506,0.0
2019-04-04,-0.01999351007511819,0.01918795696417419,0.0
2019-04-05,-0.01999351007511819,0.008072442491133813,0.0
2019-04-08,-0.01999351007511819,-0.011992900977650045,0.0
2019-04-09,-0.01999351007511819,0.01614290068058377,0.0
2019-04-10,-0.01999351007511819,0.0098902068611606,0.0
2019-04-11,-0.01999351007511819,0.007353884208616712,0.0
2019-04-12,-0.01924591364804706,-0.010639833087447315,0.0
2019-04-15,-0.019084017476424006,0.013349923902040928,0.0
2019-04-16,-0.019084017476424006,0.0013522446021259071,0.0
2019-04-17,-0.019084017476424006,-0.028232620999991465,1.0
2019-04-18,-0.01924591364804706,-0.015408710985048923,0.0
2019-04-22,-0.01924591364804706,-0.0005647174155321011,0.0
2019-04-23,-0.01924591364804706,0.022899622914075657,0.0
2019-04-24,-0.01924591364804706,-0.14439720691070468,1.0
2019-04-25,-0.01999351007511819,-0.021929298633287075,1.0
2019-04-26,-0.02099019727793498,0.020333092557308863,0.0
2019-04-29,-0.02099019727793498,-0.023271875165025158,1.0
2019-04-30,-0.021531619194563582,-0.015156767211332411,0.0
2019-05-01,-0.021531619194563582,0.0026525188490325036,0.0
2019-05-02,-0.021531619194563582,-0.005312092270843838,0.0
2019-05-03,-0.021531619194563582,0.00960746181215244,0.0
2019-05-06,-0.021531619194563582,0.01991254322096525,0.0
2019-05-07,-0.021531619194563582,0.0016147020079957386,0.0
2019-05-08,-0.021531619194563582,-0.016921993951505065,0.0
2019-05-09,-0.021531619194563582,0.017244634022662186,0.0
2019-05-10,-0.021531619194563582,0.02264485519322834,0.0
2019-05-13,-0.021531619194563582,-0.010780010723050015,0.0
2019-05-14,-0.021531619194563582,0.00983352762397427,0.0
2019-05-15,-0.021531619194563582,0.01472692156556965,0.0
