,VaR,return,violation
2019-01-04,-0.038314868132349814,0.06289025806852067,0.0
2019-01-07,-0.038314868132349814,0.01703344477865887,0.0
2019-01-08,-0.038314868132349814,-0.04701357491387892,1.0
2019-01-09,-0.03981785891463162,0.03836925267094937,0.0
2019-01-10,-0.03981785891463162,0.014731739628299323,0.0
2019-01-11,-0.03981785891463162,-0.008754269285935479,0.0
2019-01-14,-0.03981785891463162,-0.02599692801976783,0.0
2019-01-15,-0.03981785891463162,0.020805506023118703,0.0
2019-01-16,-0.03981785891463162,0.000490876821491959,0.0
2019-01-17,-0.03981785891463162,0.014358390074078464,0.0
2019-01-18,-0.03981785891463162,0.008670492584889722,0.0
2019-01-22,-0.03981785891463162,-0.02962721124528578,0.0
2019-01-23,-0.03981785891463162,-0.00439005687854177,0.0
2019-01-24,-0.03981785891463162,-0.004077256803004303,0.0
2019-01-25,-0.03981785891463162,-0.02413806033271726,0.0
2019-01-28,-0.03981785891463162,-0.021322767628281447,0.0
2019-01-29,-0.03981785891463162,-0.00844774163388351,0.0
2019-01-30,-0.03981785891463162,-0.0455055934583708,1.0
2019-01-31,-0.04122339279194207,0.02614385957984311,0.0
2019-02-01,-0.04122339279194207,0.01091278270382734,0.0
2019-02-04,-0.04122339279194207,-0.006455024689819844,0.0
2019-02-05,-0.04122339279194207,0.002948890925521752,0.0
2019-02-06,-0.03981785891463162,0.008161937940821318,0.0
2019-02-07,-0.03981785891463162,-0.02732477612507367,0.0
2019-02-08,-0.03981785891463162,0.027043229080732978,0.0
2019-02-11,-0.03981785891463162,0.0009498761714183956,0.0
2019-02-12,-0.038314868132349814,0.027162286101142463,0.0
2019-02-13,-0.038314868132349814,0.0045073190500088955,0.0
2019-02-14,-0.038314868132349814,-0.003583654682387305,0.0
2019-02-15,-0.038314868132349814,0.024820109650389277,0.0
2019-02-19,-0.038314868132349814,0.008105364240342361,0.0
2019-02-20,-0.038314868132349814,-6.622127498889796e-05,0.0
2019-02-21,-0.038314868132349814,-0.017893428537056444,0.0
2019-02-22,-0.038314868132349814,0.013981612918531283,0.0
2019-02-25,-0.038314868132349814,0.012149395151603848,0.0
2019-02-26,-0.038314868132349814,-0.011651313318892242,0.0
2019-02-27,-0.038314868132349814,0.026051235164883835,0.0
2019-02-28,-0.038314868132349814,0.01160920390413267,0.0
2019-03-01,-0.038314868132349814,0.026533632745807445,0.0
2019-03-04,-0.038314868132349814,-0.04287647531579086,1.0
2019-03-05,-0.03981785891463162,-0.012755651390364164,0.0
2019-03-06,-0.03981785891463162,-0.017063787110719097,0.0
2019-03-07,-0.03981785891463162,-0.02234651888336625,0.0
2019-03-08,-0.03981785891463162,0.008421556383106932,0.0
2019-03-11,-0.03981785891463162,0.019001481719078228,0.0
2019-03-12,-0.03981785891463162,0.016814312121076647,0.0
2019-03-13,-0.03981785891463162,0.009779344431701809,0.0
2019-03-14,-0.03981785891463162,0.0030122739008158206,0.0
2019-03-15,-0.03981785891463162,0.0020677883089810223,0.0
2019-03-18,-0.03981785891463162,-0.013190199564534488,0.0
2019-03-19,-0.03981785891463162,0.015961988923717918,0.0
2019-03-20,-0.03981785891463162,0.014696725973761815,0.0
2019-03-21,-0.03981785891463162,0.012324611765116344,0.0
2019-03-22,-0.03981785891463162,-0.033187803105287905,0.0
2019-03-25,-0.03981785891463162,-0.016588087579740396,0.0
2019-03-26,-0.03981785891463162,0.012401778939068464,0.0
2019-03-27,-0.03981785891463162,-0.017816320080270565,0.0
2019-03-28,-0.03981785891463162,0.010111935671411665,0.0
2019-03-29,-0.03981785891463162,0.018024947758643606,0.0
2019-04-01,-0.03981785891463162,0.01960125994894124,0.0
2019-04-02,-0.03981785891463162,-0.0023383093012041556,0.0
2019-04-03,-0.03981785891463162,0.009759245825509133,0.0
2019-04-04,-0.03981785891463162,-0.013181683944374356,0.0
2019-04-05,-0.03981785891463162,0.026562972261054085,0.0
2019-04-08,-0.03981785891463162,0.0003399436866473593,0.0
2019-04-09,-0.03981785891463162,-0.0217735916380839,0.0
2019-04-10,-0.03981785891463162,0.0256288869299075,0.0
2019-04-11,-0.03981785891463162,0.011203371295571252,0.0
2019-04-12,-0.03981785891463162,0.0295422017074074,0.0
2019-04-15,-0.03981785891463162,-0.009651264013069039,0.0
2019-04-16,-0.03981785891463162,-0.01691230046172354,0.0
2019-04-17,-0.03981785891463162,-0.033357508949902304,0.0
2019-04-18,-0.03981785891463162,0.0010662333347362107,0.0
2019-04-22,-0.03981785891463162,0.00018809870173441823,0.0
2019-04-23,-0.03981785891463162,0.009264649937867908,0.0
2019-04-24,-0.03981785891463162,-0.02369018011373747,0.0
2019-04-25,-0.03981785891463162,0.014770171265964471,0.0
2019-04-26,-0.03981785891463162,-0.01629744873310024,0.0
2019-04-29,-0.03981785891463162,-0.006388984183915092,0.0
2019-04-30,-0.03981785891463162,-0.00012819495141602744,0.0
2019-05-01,-0.03981785891463162,-0.006043876966629114,0.0
2019-05-02,-0.03981785891463162,0.008252964932704998,0.0
2019-05-03,-0.03981785891463162,0.040211571377731126,0.0
2019-05-06,-0.03981785891463162,-0.002337420064443485,0.0
2019-05-07,-0.03981785891463162,-0.013172988717942147,0.0
2019-05-08,-0.03981785891463162,-0.003375268096485584,0.0
2019-05-09,-0.03981785891463162,-0.006469920801985829,0.0
2019-05-10,-0.03981785891463162,-0.004927542755462255,0.0
2019-05-13,-0.03981785891463162,-0.04846241098201709,1.0
2019-05-14,-0.04122339279194207,0.01218977767172813,0.0
2019-05-15,-0.04122339279194207,0.006610673709837478,0.0
